iter	Logloss
0	0.6532827759
1	0.6191117859
2	0.5871940994
3	0.5662382507
4	0.541821022
5	0.5160206604
6	0.504789505
7	0.4893377304
8	0.4743401337
9	0.457889061
10	0.4499992752
11	0.4320995331
12	0.4211779022
13	0.4081614685
14	0.3997592163
15	0.3900711823
16	0.3805209351
17	0.3713297272
18	0.3659700775
19	0.3561306
20	0.3495752335
21	0.3429185486
22	0.3316477585
23	0.3242209244
24	0.3177476692
25	0.3133523941
26	0.3079624367
27	0.3030373001
28	0.2975063515
29	0.293937397
30	0.2871623993
31	0.2808712387
32	0.2757126045
33	0.2694458008
34	0.2652307701
35	0.2608704376
36	0.2564842987
37	0.2527363968
38	0.248694973
39	0.2439697075
40	0.2395816422
41	0.2363270569
42	0.2306401825
43	0.2274338722
44	0.2244754791
45	0.2214202499
46	0.2184036636
47	0.2162394714
48	0.2131642914
49	0.2090432739
