iter	Passed	Remaining
0	3	181
1	9	226
2	15	243
3	20	232
4	25	228
5	30	223
6	33	207
7	38	200
8	44	200
9	48	194
10	53	188
11	57	182
12	62	176
13	66	170
14	71	165
15	75	161
16	80	157
17	85	151
18	90	147
19	95	143
20	99	137
21	104	133
22	109	128
23	114	124
24	119	119
25	123	114
26	128	109
27	132	103
28	136	98
29	140	93
30	144	88
31	147	83
32	152	78
33	157	73
34	161	69
35	167	65
36	173	61
37	178	56
38	183	51
39	190	47
40	202	44
41	210	40
42	217	35
43	225	30
44	232	25
45	240	20
46	246	15
47	254	10
48	260	5
49	268	0
